##Dynamic with 8M points, varying block size
# NP wall_clock_time cpu_time
#block_size=1
2 35.11 67.49
3 18.65 52.46
5 13.21 60.15
7 12.77 80.32
9 15.07 124.98
12 16.19 179.77
13 16.83 116.12


#block_size=2
2 26.14 49.94
3 14.07 38.74
5 8.97 39.02
7 8.26 49.60
9 8.94 69.76
12 9.31 97.15
13 9.08 88.10


#block_size=5
2 21.58 40.85
3 11.43 30.80
5 6.55 26.92
7 5.27 28.66
9 5.02 34.41
12 4.64 41.29
13 4.80 40.59


#block_size=10
2 19.92 37.54
3 10.54 28.16
5 5.90 23.66
7 4.44 22.90
9 3.86 24.10
12 3.60 28.77
13 3.55 26.14


#block_size=25
2 18.86 35.42
3 10.07 26.77
5 5.61 22.19
7 4.16 20.86
9 3.46 20.31
12 2.92 20.66
13 2.93 19.19


#block_size=50
2 18.53 34.74
3 9.86 26.08
5 5.53 21.82
7 4.09 20.39
9 3.37 19.70
12 2.83 19.38
13 3.47 18.04


#block_size=100
2 18.35 34.37
3 9.82 25.97
5 5.47 21.54
7 4.07 20.17
9 3.36 19.53
12 2.78 18.98
13 2.81 17.57


#block_size=250
2 18.24 34.18
3 9.73 25.74
5 5.46 21.49
7 4.04 20.02
9 3.34 19.35
12 2.78 18.83
13 3.12 17.99


#block_size=500
2 18.22 34.11
3 9.72 25.65
5 5.46 21.49
7 4.03 19.99
9 3.33 19.31
12 3.22 24.13
13 3.59 18.81


#block_size=1000
2 18.19 34.07
3 9.76 25.80
5 5.46 21.45
7 4.04 20.00
9 3.90 24.36
12 4.15 34.64
13 4.01 19.50


#block_size=2500
2 18.47 34.57
3 10.25 25.71
5 5.46 21.40
7 4.93 26.26
9 5.55 34.13
12 5.18 46.46
13 5.95 22.24


#block_size=5000
2 18.18 33.98
3 9.71 25.69
5 5.79 23.11
7 5.80 32.35
9 5.81 41.57
12 5.87 52.63
13 6.17 22.55


